         11604343 function calls (11594829 primitive calls) in 2259.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2400    0.009    0.000    0.033    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:24(__init__)
    26340    0.009    0.000    0.017    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
     5700    0.009    0.000    1.809    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
      480    0.009    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:51(_setup)
    11760    0.009    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:24(__init__)
    10664    0.009    0.000    0.012    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
     5700    0.008    0.000    0.147    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:68(__init__)
    19570    0.008    0.000    0.046    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
     1920    0.008    0.000    0.008    0.000 {method 'flush' of 'zlib.Decompress' objects}
    11400    0.008    0.000    0.010    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:25(add)
    19464    0.008    0.000    0.062    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
     2400    0.008    0.000    0.074    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:69(register)
     5270    0.008    0.000    0.028    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:273(__getattr__)
     2400    0.008    0.000    0.348    0.000 C:\ANACONDA3\lib\zipfile.py:1473(read)
      412    0.008    0.000    0.017    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\visitor.py:529(dfs_postorder_stack)
    64534    0.008    0.000    0.008    0.000 {built-in method builtins.id}
    13769    0.007    0.000    0.008    0.000 {built-in method builtins.next}
      960    0.007    0.000    0.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
    42882    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     2400    0.007    0.000    0.621    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:51(has_zip)
       30    0.007    0.000    0.057    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:551(output2json)
     4853    0.007    0.000    0.034    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:975(_setitem_when_not_present)
    10412    0.007    0.000    0.024    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:458(ub)
    15000    0.007    0.000    0.007    0.000 {method 'find' of 'str' objects}
    10412    0.007    0.000    0.024    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:445(lb)
      480    0.007    0.000    0.462    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:45(__init__)
    50400    0.007    0.000    0.007    0.000 {method 'read' of '_io.BytesIO' objects}
     6180    0.007    0.000    0.018    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:59(name)
    12600    0.006    0.000    0.008    0.000 C:\ANACONDA3\lib\zipfile.py:461(_decodeExtra)
    15000    0.006    0.000    0.012    0.000 C:\ANACONDA3\lib\encodings\cp437.py:14(decode)
     6180    0.006    0.000    0.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
     4850    0.006    0.000    0.065    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\initializer.py:244(__call__)
    20908    0.006    0.000    0.017    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:149(has_lb)
    48490    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
     2880    0.006    0.000    0.043    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:22(add)
    19464    0.006    0.000    0.068    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1425(component_data_objects)
     9180    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        2    0.006    0.003    0.006    0.003 {built-in method _winapi.CreateProcess}
     5700    0.006    0.000    4.709    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:64(__init__)
     6180    0.006    0.000    4.940    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:23(<genexpr>)
      303    0.005    0.000    0.033    0.000 {built-in method builtins.print}
     2400    0.005    0.000    0.010    0.000 C:\ANACONDA3\lib\zipfile.py:1049(close)
     5270    0.005    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:317(__getitem__)
       29    0.005    0.000    0.114    0.004 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:701(construct)
        2    0.005    0.003    0.009    0.005 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:440(select)
    11599    0.005    0.000    0.005    0.000 {built-in method builtins.max}
       30    0.005    0.000    0.005    0.000 {built-in method nt.chdir}
    20824    0.005    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:572(<listcomp>)
7922/4796    0.005    0.000    0.022    0.000 {pyomo.core.expr.numvalue.value}
      960    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:58(<listcomp>)
     4239    0.005    0.000    0.005    0.000 {built-in method _codecs.charmap_encode}
     2400    0.005    0.000    0.018    0.000 C:\ANACONDA3\lib\zipfile.py:1033(_read2)
     5700    0.005    0.000    0.038    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:35(expand_columns)
        2    0.005    0.002    0.021    0.011 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:324(add_solution)
    23568    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    26340    0.005    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:324(_lb)
     1920    0.005    0.000    0.005    0.000 {built-in method zlib.decompressobj}
     2400    0.005    0.000    0.005    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:181(<listcomp>)
     5700    0.005    0.000    0.061    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:26(update)
    17772    0.005    0.000    0.018    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:154(has_ub)
    20824    0.004    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2481(ranges)
     5070    0.004    0.000    0.171    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:129(rows)
     8502    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:141(alias)
     2400    0.004    0.000    0.004    0.000 {built-in method now}
    25432    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:339(_ub)
     2400    0.004    0.000    0.233    0.000 C:\ANACONDA3\lib\zipfile.py:917(read)
      480    0.004    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:23(create_new_file_entry)
     2078    0.004    0.000    0.027    0.000 C:\ANACONDA3\lib\site-packages\ipykernel\iostream.py:500(write)
    35378    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:411(domain)
     4800    0.004    0.000    0.005    0.000 C:\ANACONDA3\lib\zipfile.py:1823(close)
     2123    0.004    0.000    0.021    0.000 C:\ANACONDA3\lib\site-packages\ipykernel\iostream.py:206(schedule)
     8500    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:408(equality)
      240    0.004    0.000    0.011    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:37(trace_pf)
      540    0.004    0.000    0.020    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
        1    0.004    0.004  905.603  905.603 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:31(InvPt1_function)
     2400    0.003    0.000    0.003    0.000 C:\ANACONDA3\lib\threading.py:81(RLock)
      480    0.003    0.000    0.027    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\content.py:29(_setup_references)
     9517    0.003    0.000    0.008    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\visitor.py:789(visiting_potential_leaf)
    46171    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
     2572    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      480    0.003    0.000    0.283    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:124(get_text)
       30    0.003    0.000    0.007    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      480    0.003    0.000    0.020    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\styles.py:29(_setup)
     5700    0.003    0.000    0.003    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:22(set_maxcount)
      960    0.003    0.000    0.021    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:136(<listcomp>)
     5700    0.003    0.000    0.006    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:116(__init__)
     4550    0.003    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:277(__init__)
      405    0.003    0.000    0.005    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:491(braSCapN_rule)
    11760    0.003    0.000    0.003    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:46(kind)
     2400    0.003    0.000    0.153    0.000 C:\ANACONDA3\lib\zipfile.py:190(_check_zipfile)
      405    0.003    0.000    0.004    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:528(braQ_rule)
        1    0.003    0.003 1353.100 1353.100 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt2.py:76(runACOPF)
      405    0.003    0.000    0.004    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:519(braP_rule)
    26219    0.003    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\pyomoobject.py:31(is_expression_type)
    15000    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
     2400    0.003    0.000    0.003    0.000 C:\ANACONDA3\lib\zipfile.py:738(__init__)
     6510    0.003    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\compatibility.py:21(is_string)
      405    0.003    0.000    0.004    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:457(braSCap_rule)
     2400    0.003    0.000    0.008    0.000 C:\ANACONDA3\lib\zipfile.py:719(_get_decompressor)
    11050    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
     5206    0.002    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:169(is_binary)
     8500    0.002    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:311(body)
     4800    0.002    0.000    0.002    0.000 C:\ANACONDA3\lib\zipfile.py:1949(_fpclose)
      150    0.002    0.000    0.006    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:589(nodeBalance_rule)
        8    0.002    0.000    0.002    0.000 {built-in method nt.open}
     2400    0.002    0.000    0.306    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:56(_open_bytestream)
     2400    0.002    0.000    0.068    0.000 C:\ANACONDA3\lib\zipfile.py:950(_update_crc)
     4666    0.002    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:161(is_integer)
      480    0.002    0.000    0.017    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\body.py:19(__init__)
     2966    0.002    0.000    0.003    0.000 C:\ANACONDA3\lib\json\encoder.py:277(_iterencode_list)
      960    0.002    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\variables.py:17(__init__)
      480    0.002    0.000    0.029    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\content.py:19(__init__)
      150    0.002    0.000    0.006    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:598(nodeBalanceQ_rule)
      194    0.002    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1912(__init__)
     4666    0.002    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:178(is_continuous)
