         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
   187080    0.022    0.000    0.022    0.000 {built-in method builtins.issubclass}
     2400    0.022    0.000    2.105    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
     2400    0.022    0.000    0.206    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
     2400    0.021    0.000    0.023    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
    11970    0.021    0.000    0.041    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
    17940    0.019    0.000    0.022    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
     6960    0.019    0.000   13.699    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
    11970    0.019    0.000    0.096    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
     7200    0.019    0.000    0.159    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
     2400    0.018    0.000    0.484    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
     6960    0.017    0.000    3.293    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
       84    0.017    0.000    0.017    0.000 {built-in method nt.stat}
     6960    0.015    0.000   13.033    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
     5926    0.015    0.000    0.026    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
    14400    0.015    0.000    0.015    0.000 {method 'tell' of '_io.BufferedReader' objects}
    11970    0.015    0.000    0.133    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
89746/88617    0.014    0.000    0.015    0.000 {built-in method builtins.len}
     2400    0.014    0.000    0.295    0.000 C:\ANACONDA3\lib\zipfile.py:997(_read1)
     6960    0.014    0.000    9.121    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
    24600    0.013    0.000    0.013    0.000 {built-in method _struct.unpack}
