         43964990 function calls (43955840 primitive calls) in 6508.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60 6455.162  107.586 6506.615  108.444 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:249(run_jl)
      960    0.013    0.000    8.913    0.009 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
     2646    0.012    0.000    0.198    0.000 C:\ANACONDA3\lib\xml\sax\expatreader.py:338(start_element_ns)
     9120    0.012    0.000    0.023    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
        3    0.012    0.004    0.012    0.004 {built-in method _winapi.CreateProcess}
        3    0.012    0.004    0.040    0.013 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
    29400    0.012    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:54(row)
     4800    0.012    0.000    0.012    0.000 {built-in method now}
    37745    0.012    0.000    0.012    0.000 {method 'split' of 'str' objects}
    13923    0.012    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:22(set_maxcount)
     4805    0.012    0.000    0.763    0.000 C:\ANACONDA3\lib\zipfile.py:917(read)
      960    0.011    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:23(create_new_file_entry)
     9603    0.011    0.000    0.014    0.000 C:\ANACONDA3\lib\zipfile.py:1823(close)
      960    0.011    0.000    0.082    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\content.py:29(_setup_references)
    29943    0.010    0.000    0.011    0.000 {pyomo.core.expr.numvalue.as_numeric}
     4802    0.010    0.000    0.010    0.000 C:\ANACONDA3\lib\threading.py:81(RLock)
     2256    0.010    0.000    0.011    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
     9120    0.009    0.000    0.009    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
    55288    0.009    0.000    0.009    0.000 {method 'pop' of 'list' objects}
     9607    0.009    0.000    0.009    0.000 C:\ANACONDA3\lib\zipfile.py:1949(_fpclose)
      960    0.009    0.000    0.058    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\styles.py:29(_setup)
     5009    0.009    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
    47604    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
    24000    0.008    0.000    0.008    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:46(kind)
      960    0.008    0.000    0.804    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:124(get_text)
    19002    0.008    0.000    0.015    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
     9128    0.008    0.000    0.011    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:142(_nsassign)
    19369    0.008    0.000    0.011    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
    17664    0.008    0.000    0.016    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
     4805    0.008    0.000    0.008    0.000 C:\ANACONDA3\lib\zipfile.py:738(__init__)
    30010    0.008    0.000    0.008    0.000 {built-in method builtins.chr}
     4800    0.008    0.000    0.405    0.000 C:\ANACONDA3\lib\zipfile.py:190(_check_zipfile)
     6975    0.007    0.000    0.012    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:27(remove_minimal_values)
      960    0.007    0.000    0.090    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\content.py:19(__init__)
     4805    0.007    0.000    0.023    0.000 C:\ANACONDA3\lib\zipfile.py:719(_get_decompressor)
     6396    0.007    0.000    0.010    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
    27840    0.007    0.000    0.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\conf.py:24(get_strategy)
    12264    0.007    0.000    0.051    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
     2636    0.007    0.000    0.016    0.000 C:\ANACONDA3\lib\site-packages\odf\opendocument.py:176(build_caches)
     4800    0.006    0.000    0.882    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:56(_open_bytestream)
    13920    0.006    0.000    0.006    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\conf.py:33(get_maxcols)
