         2290778 function calls (2285667 primitive calls) in 112.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2677    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        3    0.001    0.000    0.002    0.001 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:440(select)
      684    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
 1453/441    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1115(__iter__)
       12    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\common\factory.py:42(__iter__)
     5040    0.001    0.000    0.001    0.000 {method 'read' of '_io.BytesIO' objects}
     1500    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       48    0.001    0.000    0.043    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:45(__init__)
      744    0.001    0.000    1.223    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:23(<genexpr>)
     1863    0.001    0.000    0.001    0.000 {pyomo.core.expr.numvalue.as_numeric}
     1500    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\encodings\cp437.py:14(decode)
        3    0.001    0.000    0.005    0.002 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:324(add_solution)
     1260    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\zipfile.py:461(_decodeExtra)
  882/881    0.001    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\initializer.py:30(Initializer)
      864    0.001    0.000    0.024    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:129(rows)
     1782    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1237(__len__)
      696    0.001    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:26(update)
      240    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\zipfile.py:1049(close)
     1587    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\compatibility.py:21(is_string)
      602    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:445(lb)
      240    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\zipfile.py:1033(_read2)
      602    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:458(ub)
  643/586    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:285(__setattr__)
      126    0.001    0.000    0.001    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\process_data.py:82(<genexpr>)
      182    0.001    0.000    0.032    0.000 C:\ANACONDA3\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
       50    0.000    0.000    0.033    0.001 {built-in method builtins.print}
      212    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3693(dimen)
     1008    0.000    0.000    0.012    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1425(component_data_objects)
        3    0.000    0.000    0.001    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:101(get_branch_dual_normal)
     1185    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
      178    0.000    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:387(keys)
      288    0.000    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:22(add)
      710    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:454(__contains__)
      182    0.000    0.000    0.031    0.000 C:\ANACONDA3\lib\site-packages\colorama\ansitowin32.py:193(write_plain_text)
      192    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
     1698    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\component.py:797(parent_component)
     1017    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
      419    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      157    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3898(__len__)
     1643    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       48    0.000    0.000    0.293    0.006 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
      120    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:326(declare)
       33    0.000    0.000    0.002    0.000 C:\ANACONDA3\lib\inspect.py:1102(getfullargspec)
       33    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\inspect.py:2124(_signature_from_function)
        3    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1667(is_constructed)
      419    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.003    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\input_output_function.py:224(output_data2Json)
      240    0.000    0.000    0.023    0.000 C:\ANACONDA3\lib\zipfile.py:917(read)
      349    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\common\log.py:42(is_debug_set)
       30    0.000    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:701(construct)
      290    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\common\timing.py:61(report)
      364    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
     1085    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1541(_iter_impl)
       48    0.000    0.000    0.000    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:23(create_new_file_entry)
      240    0.000    0.000    0.000    0.000 {built-in method now}
     1467    0.000    0.000    0.000    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:54(row)
